Song_name,Scale,Capo,Chords,Frequency_map_of_each_chord,bpm
I Love You,C,no capo,"['Fmaj7', 'Cadd9', 'C', 'Dm', 'G', 'Am']","{'Fmaj7': 18, 'Cadd9': 12, 'C': 6, 'Dm': 4, 'G': 4, 'Am': 3}",138 
Save Your Tears,C,no capo,"['C', 'Am', 'Em', 'G', 'Dm', 'F', 'F/G']","{'C': 23, 'Am': 25, 'Em': 22, 'G': 23, 'Dm': 3, 'F': 3, 'F/G': 2}",118 
The Perfect Pair,Key Not Find,no capo,"['G#m', 'G#mmaj7', 'G#m7', 'Emaj7/F', 'Emaj7', 'Emaj7/B', 'Emaj7/G#']","{'G#m': 12, 'G#mmaj7': 12, 'G#m7': 11, 'Emaj7/F': 11, 'Emaj7': 10, 'Emaj7/B': 10, 'Emaj7/G#': 9}",NF
G#out You,D,no capo,"['D', 'A', 'Bm', 'G']","{'D': 16, 'A': 26, 'Bm': 15, 'G': 13}",NF
Black Panther Wakanda Forever - Lift Me Up,A,no capo,"['A', 'Bm', 'E7', 'F#m7']","{'A': 25, 'Bm': 17, 'E7': 17, 'F#m7': 5}",NF
Lemon Tree,Am,4th fret,"['F#dim7', 'G', 'Am', 'Em', 'Dm', 'C', 'F', 'G7', 'E']","{'F#dim7': 3, 'G': 14, 'Am': 38, 'Em': 38, 'Dm': 7, 'C': 9, 'F': 7, 'G7': 4, 'E': 2}",143 
I Still Havent Found What Im Looking For,C#,1st fret,"['C', 'Fsus2', 'G', 'Csus4', 'F']","{'C': 31, 'Fsus2': 15, 'G': 8, 'Csus4': 6, 'F': 2}",101 
Bohemian Rhapsody,A#,no capo,"['Gm7', 'C7', 'F7', 'Cm7', 'A#', 'A#7', 'D#', 'B', 'A', 'A#/D', 'C#dim7', 'F7/C', 'Gm', 'Cm', 'D#/B', 'D#/A#', 'Am7b5', 'G#maj7', 'D#/G', 'Fm', 'Eaug', 'G#/D#', 'Dm7b5', 'G#m', 'G#', 'D#dim', 'Fm7', 'C#', 'C#/C', 'C#/B', 'C#/A#', 'D', 'Adim', 'C#/G#', 'G#7', 'C/G', 'E7', 'F#dim', 'F#7', 'Bm', 'A7', 'C#7', 'F#7', 'Ddim', 'D7', 'F', 'D#7', 'F#', 'B7', 'Bdim7', 'G#/A#', 'D#dim7', 'A#m/C#', 'C7-9', 'G#dim']","{'Gm7': 5, 'C7': 5, 'F7': 7, 'Cm7': 6, 'A#': 33, 'A#7': 11, 'D#': 36, 'B': 6, 'A': 17, 'A#/D': 8, 'C#dim7': 1, 'F7/C': 1, 'Gm': 8, 'Cm': 15, 'D#/B': 2, 'D#/A#': 4, 'Am7b5': 2, 'G#maj7': 2, 'D#/G': 4, 'Fm': 8, 'Eaug': 4, 'G#/D#': 7, 'Dm7b5': 4, 'G#m': 2, 'G#': 8, 'D#dim': 3, 'Fm7': 2, 'C#': 2, 'C#/C': 1, 'C#/B': 1, 'C#/A#': 1, 'D': 7, 'Adim': 3, 'C#/G#': 1, 'G#7': 2, 'C/G': 1, 'E7': 1, 'F#dim': 1, 'F#7': 1, 'Bm': 1, 'A7': 1, 'C#7': 1, 'F#7': 1, 'Ddim': 1, 'D7': 1, 'F': 5, 'D#7': 1, 'F#': 1, 'B7': 1, 'Bdim7': 2, 'G#/A#': 1, 'D#dim7': 1, 'A#m/C#': 1, 'C7-9': 1, 'G#dim': 1}",NF
Merry Christmas Everyone,G,2nd fret,"['G', 'B7/F#', 'Em', 'C', 'D', 'A', 'C#7/G#', 'F#m', 'E']","{'G': 44, 'B7/F#': 12, 'Em': 16, 'C': 23, 'D': 28, 'A': 25, 'C#7/G#': 7, 'F#m': 7, 'E': 9}",102 
Island In The Sun,Em,no capo,"['Em', 'Am', 'D', 'G', 'C']","{'Em': 40, 'Am': 42, 'D': 46, 'G': 44, 'C': 2}",115 
Thank You,G#m,4th fret,"['D/F#', 'G/B', 'Em', 'C', 'D', 'G', 'Em/B', 'Bm', 'Am']","{'D/F#': 7, 'G/B': 13, 'Em': 10, 'C': 27, 'D': 6, 'G': 21, 'Em/B': 2, 'Bm': 5, 'Am': 5}",80 
Favorite Crime,A,2nd fret,"['G', 'Em', 'D', 'Cmaj7', 'Am']","{'G': 12, 'Em': 8, 'D': 9, 'Cmaj7': 9, 'Am': 2}",90 
Home,Bm,2nd fret,"['Am', 'C', 'C/E', 'F', 'Dm', 'G']","{'Am': 24, 'C': 49, 'C/E': 20, 'F': 25, 'Dm': 8, 'G': 8}",112 
I Walk The Line,F,1st fret,"['B7', 'E', 'A', 'E7', 'D', 'A7', 'G']","{'B7': 6, 'E': 8, 'A': 10, 'E7': 6, 'D': 6, 'A7': 3, 'G': 1}",212 
This Is The Life,C#m,4th fret,"['Am', 'F', 'C', 'Em']","{'Am': 21, 'F': 17, 'C': 17, 'Em': 17}",190 
Norwegian Wood,E,2nd fret,"['D', 'C', 'G', 'Dm', 'Em', 'A', 'E', 'F#m', 'B']","{'D': 16, 'C': 8, 'G': 12, 'Dm': 5, 'Em': 4, 'A': 4, 'E': 1, 'F#m': 1, 'B': 1}",NF
Highway To Hell,A,no capo,"['A', 'D/F#', 'G', 'E', 'D/A', 'D', 'Dsus4']","{'A': 90, 'D/F#': 75, 'G': 42, 'E': 2, 'D/A': 20, 'D': 5, 'Dsus4': 3}",116 
Riptide,A#m,6th fret,"['Em', 'Dadd9', 'G', 'D', 'C']","{'Em': 39, 'Dadd9': 37, 'G': 39, 'D': 2, 'C': 2}",98 
Stay ,C,no capo,"['Fmaj7', 'Cmaj7/G', 'Am7', 'Fm', 'D7', 'F']","{'Fmaj7': 7, 'Cmaj7/G': 13, 'Am7': 12, 'Fm': 6, 'D7': 3, 'F': 4}",78 
Rises The Moon,G,no capo,"['Am7', 'D7', 'Am', 'Cmaj7', 'F', 'Fm', 'C7']","{'Am7': 6, 'D7': 4, 'Am': 4, 'Cmaj7': 13, 'F': 8, 'Fm': 8, 'C7': 5}",137 
Beautiful Crazy,B,4th fret,"['G', 'D/F#', 'Em7', 'D', 'C', 'Am7', 'G/B']","{'G': 14, 'D/F#': 13, 'Em7': 10, 'D': 15, 'C': 10, 'Am7': 5, 'G/B': 4}",154 
Kiss Me,D,1st fret,"['D', 'Dmaj7', 'D7', 'G', 'Em', 'A', 'Bm', 'D/C#', 'Bm7', 'D/A', 'Gmaj7', 'Asus4']","{'D': 25, 'Dmaj7': 24, 'D7': 17, 'G': 2, 'Em': 11, 'A': 14, 'Bm': 4, 'D/C#': 3, 'Bm7': 3, 'D/A': 3, 'Gmaj7': 3, 'Asus4': 3}",100 
Demons,D,1st fret,"['D', 'A', 'Bm', 'G']","{'D': 20, 'A': 16, 'Bm': 16, 'G': 15}",90 
Wake Me Up When September Ends,G,no capo,"['G5', 'G5/F#', 'G5/E', 'G5/D', 'C', 'Cm', 'Em', 'Bm', 'D', 'D/F#', 'Dsus4']","{'G5': 38, 'G5/F#': 14, 'G5/E': 9, 'G5/D': 9, 'C': 16, 'Cm': 10, 'Em': 6, 'Bm': 6, 'D': 4, 'D/F#': 1, 'Dsus4': 2}",105 
Basket Case,D#,1st fret,"['E', 'A', 'D', 'G', 'B', 'Bm', 'F#m', 'C']","{'E': 1, 'A': 43, 'D': 41, 'G': 25, 'B': 1, 'Bm': 19, 'F#m': 6, 'C': 3}",NF
Frosty The Snowman,G,no capo,"['G', 'D7', 'C', 'D', 'Bm', 'Am', 'C#dim', 'Em']","{'G': 30, 'D7': 7, 'C': 19, 'D': 5, 'Bm': 2, 'Am': 2, 'C#dim': 2, 'Em': 2}",144 
Dont Cry,Key Not Find,no capo,"['Am', 'Dm', 'G', 'C', 'F']","{'Am': 24, 'Dm': 12, 'G': 24, 'C': 15, 'F': 12}",NF
If I Can Dream,C,no capo,"['C', 'Am', 'F', 'G7', 'Dm', 'C7', 'E7', 'Dm7', 'F#dim', 'D7', 'A', 'D', 'Bm', 'G', 'A7', 'Em', 'G#dim']","{'C': 17, 'Am': 12, 'F': 10, 'G7': 8, 'Dm': 1, 'C7': 5, 'E7': 3, 'Dm7': 3, 'F#dim': 3, 'D7': 1, 'A': 2, 'D': 9, 'Bm': 6, 'G': 4, 'A7': 2, 'Em': 2, 'G#dim': 1}",NF
Champagne Problems,C,no capo,"['C', 'G', 'Am', 'F']","{'C': 19, 'G': 19, 'Am': 19, 'F': 19}",85 
Both Sides Now,G,no capo,"['G', 'Am', 'C', 'Gmaj7', 'Am7', 'D', 'Bm', 'D7']","{'G': 74, 'Am': 12, 'C': 58, 'Gmaj7': 6, 'Am7': 6, 'D': 10, 'Bm': 4, 'D7': 4}",NF
Come As You Are,Key Not Find,no capo,"['F#m', 'E', 'A', 'Bm', 'D', 'F#sus4']","{'F#m': 42, 'E': 30, 'A': 12, 'Bm': 10, 'D': 10, 'F#sus4': 1}",120 
Harvest Moon,C,2nd fret,"['C', 'Am', 'F', 'G', 'Dm', 'D', 'Bm', 'Dmaj7', 'A', 'Em']","{'C': 33, 'Am': 22, 'F': 12, 'G': 16, 'Dm': 2, 'D': 14, 'Bm': 1, 'Dmaj7': 12, 'A': 4, 'Em': 2}",NF
La La Land - City Of Stars,Gm,no capo,"['Gm', 'C', 'Dm', 'F', 'F/E', 'Dm7', 'A', 'A#']","{'Gm': 11, 'C': 10, 'Dm': 8, 'F': 5, 'F/E': 2, 'Dm7': 6, 'A': 6, 'A#': 4}",100 
Fix You,D#,3rd fret,"['C', 'Em', 'Am7', 'Em/G', 'F', 'G', 'Gsus4']","{'C': 36, 'Em': 16, 'Am7': 18, 'Em/G': 13, 'F': 17, 'G': 16, 'Gsus4': 9}",69 
Jealous,C,1st fret,"['C', 'F', 'Am', 'G', 'Dm', 'G7', 'F#dim7', 'F7b9', 'G#maj7', 'D#maj7', 'C7', 'Fm7', 'A#7', 'D#', 'Fm', 'Cm7', 'C#7-9', 'A#7-9', 'G#', 'Cm', 'A#', 'F7']","{'C': 26, 'F': 28, 'Am': 23, 'G': 11, 'Dm': 6, 'G7': 2, 'F#dim7': 2, 'F7b9': 1, 'G#maj7': 2, 'D#maj7': 2, 'C7': 2, 'Fm7': 3, 'A#7': 2, 'D#': 3, 'Fm': 1, 'Cm7': 1, 'C#7-9': 1, 'A#7-9': 1, 'G#': 4, 'Cm': 3, 'A#': 2, 'F7': 1}",85 
Under The Bridge,E,no capo,"['D', 'F#', 'E', 'B', 'C#m', 'G#m', 'A', 'Emaj7', 'F#m', 'B/F#', 'Am7', 'G6', 'Fmaj7', 'E7', 'Gmaj7', 'C']","{'D': 1, 'F#': 1, 'E': 22, 'B': 14, 'C#m': 14, 'G#m': 7, 'A': 18, 'Emaj7': 3, 'F#m': 12, 'B/F#': 8, 'Am7': 3, 'G6': 4, 'Fmaj7': 5, 'E7': 1, 'Gmaj7': 1, 'C': 1}",85 
Ill Be Home For Christmas,C,no capo,"['C', 'Em', 'Dm', 'G7', 'Gm', 'A', 'Fm', 'Am', 'D7', 'F', 'A7', 'G', 'E7', 'Cm']","{'C': 9, 'Em': 3, 'Dm': 6, 'G7': 4, 'Gm': 2, 'A': 2, 'Fm': 2, 'Am': 5, 'D7': 7, 'F': 1, 'A7': 5, 'G': 8, 'E7': 3, 'Cm': 1}",NF
Supermarket Flowers,C,6th fret,"['C', 'Dm', 'Em', 'F', 'Am', 'G', 'Dm7', 'Fadd9']","{'C': 38, 'Dm': 5, 'Em': 20, 'F': 36, 'Am': 11, 'G': 25, 'Dm7': 3, 'Fadd9': 2}",90 
Bad HG#it,Key Not Find,1st fret,"['Bm', 'C', 'G', 'Am', 'D', 'B', 'Em', 'B7']","{'Bm': 33, 'C': 40, 'G': 32, 'Am': 32, 'D': 7, 'B': 1, 'Em': 5, 'B7': 5}",84 
Dancing In The Dark,B,4th fret,"['G', 'Em', 'C', 'Am', 'D', 'A', 'F#m', 'Bm', 'E']","{'G': 28, 'Em': 23, 'C': 19, 'Am': 16, 'D': 11, 'A': 1, 'F#m': 1, 'Bm': 1, 'E': 1}",NF
Isnt She Lovely,C#m,2nd fret,"['Bm7', 'E', 'E7', 'Em', 'A7', 'D', 'G', 'F#', 'F#m']","{'Bm7': 9, 'E': 9, 'E7': 9, 'Em': 9, 'A7': 9, 'D': 9, 'G': 6, 'F#': 3, 'F#m': 3}",119 
Havana,Gm,3rd fret,"['Em', 'C', 'B7']","{'Em': 48, 'C': 44, 'B7': 46}",105 
Ceilings,Key Not Find,2nd fret,"['Cmaj7', 'G', 'D/F#', 'B']","{'Cmaj7': 19, 'G': 16, 'D/F#': 17, 'B': 1}",145 
I Wont Back Down,G,no capo,"['Em', 'D', 'G', 'C']","{'Em': 29, 'D': 45, 'G': 49, 'C': 20}",114 
Let It Go,G,6th fret,"['Em', 'Em7/D', 'C#m7b5', 'Cmaj7', 'G', 'C', 'D', 'Em/C#', 'Am']","{'Em': 29, 'Em7/D': 1, 'C#m7b5': 1, 'Cmaj7': 1, 'G': 35, 'C': 25, 'D': 35, 'Em/C#': 4, 'Am': 9}",74 
Ghost,D,no capo,"['Bm', 'G', 'D', 'A', 'Em', 'F#m']","{'Bm': 21, 'G': 23, 'D': 20, 'A': 22, 'Em': 2, 'F#m': 2}",77 
Ho Hey,C,no capo,"['C', 'F', 'Am', 'G']","{'C': 36, 'F': 32, 'Am': 11, 'G': 14}",80 
Little Drummer Boy,G#,1st fret,"['G', 'C', 'D']","{'G': 29, 'C': 12, 'D': 11}",100 
Shake The Frost,G,2nd fret,"['C/G', 'Am/B', 'Csus2', 'G', 'F', 'C', 'Am', 'Csus']","{'C/G': 15, 'Am/B': 10, 'Csus2': 3, 'G': 29, 'F': 16, 'C': 27, 'Am': 9, 'Csus': 5}",NF
Paint It Black,Em,no capo,"['Em', 'B', 'D', 'G', 'A']","{'Em': 34, 'B': 23, 'D': 20, 'G': 10, 'A': 5}",159 
First Day Of My Life,C,4th fret,"['Dmadd9', 'C', 'E7', 'Am', 'F', 'G', 'D7', 'G7', 'E', 'E7/B', 'Am7', 'Fm', 'Dm']","{'Dmadd9': 6, 'C': 23, 'E7': 9, 'Am': 13, 'F': 7, 'G': 13, 'D7': 4, 'G7': 4, 'E': 2, 'E7/B': 4, 'Am7': 4, 'Fm': 3, 'Dm': 1}",180 
Unchained Melody,G,no capo,"['G', 'Em', 'C', 'D', 'Bm', 'G7', 'A#']","{'G': 10, 'Em': 7, 'C': 10, 'D': 15, 'Bm': 1, 'G7': 1, 'A#': 2}",NF
Please Come Home For Christmas,A,no capo,"['A', 'E', 'F#', 'C#', 'Amaj7', 'A7', 'D', 'B7/D#', 'A/G#', 'F#m', 'B7', 'E+', 'E7', 'Dm', 'C#7', 'F#m/E', 'D#dim', 'A/E']","{'A': 19, 'E': 4, 'F#': 2, 'C#': 2, 'Amaj7': 4, 'A7': 6, 'D': 13, 'B7/D#': 4, 'A/G#': 2, 'F#m': 6, 'B7': 5, 'E+': 3, 'E7': 3, 'Dm': 2, 'C#7': 2, 'F#m/E': 2, 'D#dim': 2, 'A/E': 2}",61 
Desperado,Key Not Find,no capo,"['G', 'G7', 'C', 'Cm', 'Em', 'A7', 'D7', 'D', 'Bm', 'Am', 'B7', 'F', 'F7', 'A#', 'A#m', 'Dm', 'C7', 'Gm']","{'G': 26, 'G7': 10, 'C': 17, 'Cm': 9, 'Em': 16, 'A7': 9, 'D7': 9, 'D': 7, 'Bm': 5, 'Am': 6, 'B7': 2, 'F': 1, 'F7': 1, 'A#': 1, 'A#m': 1, 'Dm': 1, 'C7': 1, 'Gm': 1}",NF
The River,Em,no capo,"['Em', 'G', 'D', 'C', 'Am']","{'Em': 26, 'G': 32, 'D': 20, 'C': 40, 'Am': 7}",117 
Tangled - I See The Light,C,no capo,"['C', 'G', 'F', 'C/E', 'D7', 'Em', 'Am', 'D#', 'A#', 'G#', 'D#/G', 'F7', 'Gm', 'Cm', 'G7', 'D#/D', 'F9']","{'C': 15, 'G': 10, 'F': 7, 'C/E': 2, 'D7': 2, 'Em': 3, 'Am': 2, 'D#': 14, 'A#': 11, 'G#': 8, 'D#/G': 4, 'F7': 2, 'Gm': 2, 'Cm': 3, 'G7': 1, 'D#/D': 1, 'F9': 1}",100 
The Greatest Showman - Never Enough,G#,1st fret,"['G', 'D', 'Em', 'C', 'Am', 'Cm']","{'G': 16, 'D': 13, 'Em': 11, 'C': 11, 'Am': 4, 'Cm': 1}",NF
Fake Plastic Trees,A,no capo,"['A', 'Asus4', 'Dmaj9/F#', 'E6', 'Dsus2', 'Bm7add11', 'Amaj7']","{'A': 23, 'Asus4': 9, 'Dmaj9/F#': 13, 'E6': 10, 'Dsus2': 13, 'Bm7add11': 11, 'Amaj7': 2}",74 
Youre Still The One,D#,1st fret,"['D', 'G', 'A', 'Em']","{'D': 26, 'G': 25, 'A': 25, 'Em': 6}",67 
G#out A Girl ,Em,no capo,"['F#7add11', 'Em', 'G', 'C#', 'C#/G#', 'E', 'A5', 'C', 'A']","{'F#7add11': 9, 'Em': 57, 'G': 52, 'C#': 8, 'C#/G#': 8, 'E': 5, 'A5': 4, 'C': 6, 'A': 1}",120 
Cleopatra ,Key Not Find,1st fret,"['G', 'D', 'C', 'Em']","{'G': 42, 'D': 23, 'C': 22, 'Em': 3}",150 
Hello,Fm,1st fret,"['Em', 'G/D', 'D', 'C', 'Bm']","{'Em': 48, 'G/D': 42, 'D': 47, 'C': 47, 'Bm': 2}",79 
Between The Bars,Key Not Find,no capo,"['Am7', 'F', 'C', 'E7', 'G', 'Am', 'Am/F#', 'Fm']","{'Am7': 10, 'F': 20, 'C': 8, 'E7': 8, 'G': 6, 'Am': 6, 'Am/F#': 2, 'Fm': 2}",138 
Free Bird,G,no capo,"['G', 'D', 'Em', 'F', 'C', 'A#']","{'G': 14, 'D': 27, 'Em': 10, 'F': 17, 'C': 20, 'A#': 3}",NF
Come Together,Dm,no capo,"['Dm', 'A7', 'G7', 'Bm', 'A', 'G']","{'Dm': 8, 'A7': 4, 'G7': 4, 'Bm': 3, 'A': 6, 'G': 3}",82 
Life On Mars,Fm,no capo,"['F', 'Am', 'Cm/D#', 'D7', 'Gm', 'A#', 'C7', 'G#', 'Eaug', 'Fm', 'G#7', 'C#', 'Aaug', 'A#m', 'C#7', 'D#', 'Gm7', 'F#aug', 'Cm7', 'D#m7', 'A#/F', 'C/E', 'F#dim', 'Ddim']","{'F': 12, 'Am': 6, 'Cm/D#': 5, 'D7': 5, 'Gm': 8, 'A#': 10, 'C7': 5, 'G#': 3, 'Eaug': 3, 'Fm': 7, 'G#7': 3, 'C#': 3, 'Aaug': 3, 'A#m': 4, 'C#7': 3, 'D#': 5, 'Gm7': 5, 'F#aug': 7, 'Cm7': 5, 'D#m7': 5, 'A#/F': 2, 'C/E': 2, 'F#dim': 1, 'Ddim': 1}",NF
Halo,G,2nd fret,"['G', 'Am', 'Em', 'C']","{'G': 25, 'Am': 20, 'Em': 20, 'C': 20}",80 
Under The Influence,Am,no capo,"['Am', 'Cadd9', 'Fmaj7', 'G', 'Cmaj9', 'C', 'F', 'Em']","{'Am': 20, 'Cadd9': 1, 'Fmaj7': 2, 'G': 20, 'Cmaj9': 1, 'C': 12, 'F': 18, 'Em': 2}",NF
21 Guns,Dm,no capo,"['A', 'A#', 'C', 'Dm', 'F', 'A#5', 'C5', 'C/E', 'D5', 'F5', 'A5']","{'A': 1, 'A#': 25, 'C': 22, 'Dm': 20, 'F': 20, 'A#5': 19, 'C5': 28, 'C/E': 11, 'D5': 14, 'F5': 29, 'A5': 3}",80 
A Day In The Life,G,no capo,"['G', 'Bm', 'Em', 'Em7', 'C', 'C/B', 'Asus2', 'F', 'Em/F#', 'Em/G', 'Em/A', 'Em/B', 'Em/C#', 'Em/D', 'E', 'Dsus2', 'B7sus4', 'D', 'A', 'Em/C']","{'G': 11, 'Bm': 9, 'Em': 16, 'Em7': 13, 'C': 18, 'C/B': 4, 'Asus2': 4, 'F': 5, 'Em/F#': 2, 'Em/G': 2, 'Em/A': 2, 'Em/B': 2, 'Em/C#': 1, 'Em/D': 2, 'E': 9, 'Dsus2': 2, 'B7sus4': 4, 'D': 4, 'A': 2, 'Em/C': 1}",78 
My Way,D,no capo,"['D', 'Dmaj7', 'D7', 'B7', 'Em7', 'Em7/D', 'Em7/C#', 'A7', 'G', 'Gm', 'A', 'Asus4', 'Gsus4', 'Em', 'F#m', 'Bm7']","{'D': 21, 'Dmaj7': 5, 'D7': 8, 'B7': 3, 'Em7': 5, 'Em7/D': 3, 'Em7/C#': 3, 'A7': 5, 'G': 11, 'Gm': 3, 'A': 5, 'Asus4': 5, 'Gsus4': 1, 'Em': 2, 'F#m': 2, 'Bm7': 2}",75 
And I Love Her,Key Not Find,no capo,"['F#m', 'E', 'C#m', 'A', 'B', 'G#m', 'B7', 'Gm', 'Dm', 'A#', 'C7', 'F', 'Dm/F', 'D']","{'F#m': 10, 'E': 4, 'C#m': 12, 'A': 3, 'B': 5, 'G#m': 2, 'B7': 1, 'Gm': 8, 'Dm': 6, 'A#': 2, 'C7': 2, 'F': 3, 'Dm/F': 1, 'D': 1}",115 
Time,Key Not Find,no capo,"['F#m', 'Dmaj7', 'Amaj7', 'C#m7', 'Bm7', 'F/B', 'A', 'E', 'Bm', 'Emadd9', 'Em7', 'Cmaj7', 'Fmaj7', 'G', 'D7#9', 'D7b9']","{'F#m': 11, 'Dmaj7': 10, 'Amaj7': 7, 'C#m7': 4, 'Bm7': 5, 'F/B': 2, 'A': 11, 'E': 7, 'Bm': 2, 'Emadd9': 2, 'Em7': 4, 'Cmaj7': 1, 'Fmaj7': 1, 'G': 1, 'D7#9': 1, 'D7b9': 1}",NF
Home,Bm,no capo,"['Bm', 'D', 'D/F#', 'G', 'Em', 'A']","{'Bm': 25, 'D': 53, 'D/F#': 21, 'G': 27, 'Em': 6, 'A': 8}",112 
God Rest Ye Merry Gentlemen,Em,no capo,"['Em', 'C', 'B7', 'Am', 'G', 'D']","{'Em': 25, 'C': 10, 'B7': 20, 'Am': 5, 'G': 15, 'D': 10}",NF
Grease - Hopelessly Devoted To You,Dm,no capo,"['Dm', 'A', 'C#m7', 'D', 'Bm7', 'E7', 'Amaj7', 'A6', 'F#7', 'G6', 'Cm7', 'Gm7', 'C7', 'Caug', 'F', 'Fma7', 'Cdim', 'Gdim', 'Dm/C#', 'Dm/C', 'Dm/B', 'A#m']","{'Dm': 8, 'A': 12, 'C#m7': 6, 'D': 3, 'Bm7': 9, 'E7': 3, 'Amaj7': 3, 'A6': 3, 'F#7': 6, 'G6': 3, 'Cm7': 3, 'Gm7': 6, 'C7': 2, 'Caug': 2, 'F': 3, 'Fma7': 2, 'Cdim': 2, 'Gdim': 4, 'Dm/C#': 2, 'Dm/C': 2, 'Dm/B': 2, 'A#m': 1}",NF
My Way,C,2nd fret,"['C', 'Em', 'Gm', 'A7', 'Dm', 'Dm7', 'G7', 'C7', 'F', 'Fm', 'Em7', 'Am', 'A#', 'A', 'C/B', 'G']","{'C': 24, 'Em': 3, 'Gm': 3, 'A7': 3, 'Dm': 7, 'Dm7': 3, 'G7': 10, 'C7': 5, 'F': 11, 'Fm': 4, 'Em7': 2, 'Am': 3, 'A#': 1, 'A': 1, 'C/B': 1, 'G': 1}",75 
Mardy Bum,Key Not Find,no capo,"['E', 'A', 'D', 'G', 'B', 'F#', 'F#m', 'Em', 'Bm', 'F#5', 'G5', 'A5']","{'E': 2, 'A': 23, 'D': 16, 'G': 17, 'B': 1, 'F#': 7, 'F#m': 7, 'Em': 7, 'Bm': 6, 'F#5': 5, 'G5': 4, 'A5': 1}",112 
The Gambler,G,no capo,"['G', 'C', 'D']","{'G': 63, 'C': 45, 'D': 18}",NF
SomD#ody To Love,G#,1st fret,"['G', 'D/F#', 'Em', 'C', 'D7', 'G/D', 'D', 'A7', 'G7', 'C7', 'F', 'Fm']","{'G': 34, 'D/F#': 18, 'Em': 17, 'C': 15, 'D7': 5, 'G/D': 1, 'D': 21, 'A7': 17, 'G7': 1, 'C7': 1, 'F': 1, 'Fm': 1}",NF
Dont Dream Its Over,D#,3rd fret,"['Csus2', 'C7(sus2)', 'C7sus4', 'Am', 'F', 'E', 'Asus2/E', 'G', 'C', 'A#', 'F/D', 'G/E']","{'Csus2': 10, 'C7(sus2)': 2, 'C7sus4': 2, 'Am': 18, 'F': 24, 'E': 9, 'Asus2/E': 3, 'G': 10, 'C': 13, 'A#': 2, 'F/D': 1, 'G/E': 1}",82 
Take Me To Church,Em,no capo,"['Em', 'Am', 'G', 'D', 'C/G', 'C', 'Cm', 'F#', 'F', 'B', 'G/D', 'G/C']","{'Em': 32, 'Am': 32, 'G': 39, 'D': 4, 'C/G': 7, 'C': 7, 'Cm': 4, 'F#': 12, 'F': 3, 'B': 10, 'G/D': 1, 'G/C': 1}",NF
I Want To Hold Your Hand,G,no capo,"['C', 'D', 'G', 'Em', 'B', 'B7', 'Dm7', 'Am']","{'C': 32, 'D': 27, 'G': 20, 'Em': 12, 'B': 4, 'B7': 5, 'Dm7': 4, 'Am': 2}",132 
Nutshell,Em,no capo,"['Cadd9', 'Em7', 'G', 'D']","{'Cadd9': 12, 'Em7': 12, 'G': 12, 'D': 12}",NF
Runaway,G#m,4th fret,"['Em', 'D', 'C', 'G', 'Am', 'Cmaj7']","{'Em': 10, 'D': 28, 'C': 16, 'G': 19, 'Am': 11, 'Cmaj7': 11}",174 
Little Talks,A#m,1st fret,"['Am', 'Fmaj7', 'C', 'G', 'F']","{'Am': 51, 'Fmaj7': 42, 'C': 46, 'G': 28, 'F': 4}",206 
Let You Break My Heart Again,D,no capo,"['Em7', 'A7', 'Dmaj7', 'D7', 'B7', 'F#m7', 'D', 'Gmaj7', 'GmMaj7', 'C', 'Asus', 'A', 'A7sus']","{'Em7': 20, 'A7': 13, 'Dmaj7': 6, 'D7': 4, 'B7': 13, 'F#m7': 5, 'D': 10, 'Gmaj7': 3, 'GmMaj7': 3, 'C': 4, 'Asus': 2, 'A': 4, 'A7sus': 2}",74 
She Will Be Loved,Cm,3rd fret,"['Am', 'G', 'C', 'F']","{'Am': 37, 'G': 42, 'C': 13, 'F': 9}",102 
You Know Im No Good,Dm,no capo,"['Dm', 'Gm', 'A7', 'E7', 'F', 'Am']","{'Dm': 17, 'Gm': 9, 'A7': 9, 'E7': 14, 'F': 3, 'Am': 16}",103 
Eleanor RiF#y,Em,no capo,"['C', 'Em', 'Em7', 'Em6']","{'C': 21, 'Em': 22, 'Em7': 6, 'Em6': 6}",138 
Driving Home For Christmas,A,no capo,"['Amaj9', 'A', 'Dmaj7', 'D6', 'C#m7', 'F#m7', 'Bm7', 'Esus4', 'Bm', 'C#m', 'D', 'E', 'F#m', 'Gmaj7', 'Em9']","{'Amaj9': 26, 'A': 25, 'Dmaj7': 25, 'D6': 22, 'C#m7': 9, 'F#m7': 9, 'Bm7': 9, 'Esus4': 9, 'Bm': 1, 'C#m': 2, 'D': 3, 'E': 2, 'F#m': 1, 'Gmaj7': 1, 'Em9': 1}",180 
Pumped Up Kicks ,Bm,7th fret,"['Em', 'G', 'D', 'A']","{'Em': 15, 'G': 15, 'D': 15, 'A': 15}",132 
Million Reasons,C,no capo,"['C', 'Am', 'F', 'G', 'Fsus2']","{'C': 19, 'Am': 18, 'F': 25, 'G': 21, 'Fsus2': 11}",65 
My Heart Will Go On,D,2nd fret,"['Bm', 'A', 'G', 'D', 'Dm', 'C', 'A#', 'F', 'Em', 'Am', 'F#m', 'E', 'C#m']","{'Bm': 12, 'A': 47, 'G': 39, 'D': 65, 'Dm': 13, 'C': 56, 'A#': 20, 'F': 15, 'Em': 13, 'Am': 1, 'F#m': 4, 'E': 8, 'C#m': 1}",NF
